animalLabel,animalDescription,speciesLabel,estudioLabel
Pasch,British-bred Thoroughbred racehorse,caballo,hipología
Paseana,Argentine-bred Thoroughbred racehorse,caballo,hipología
Pass Catcher,American Thoroughbred racehorse,caballo,hipología
Passionate Kemp,Finnish Standardbred racehorse,caballo,hipología
Pasteurized,American-bred Thoroughbred racehorse,caballo,hipología
Pastille,British Thoroughbred racehorse,caballo,hipología
Paul Jones,American thoroughbred racehorse and winner of 1920 Kentucky Derby,caballo,hipología
Pawneese,Irish-bred Thoroughbred racehorse,caballo,hipología
Peace Chance,American-bred Thoroughbred racehorse,caballo,hipología
Peace Rules,American-bred Thoroughbred racehorse,caballo,hipología
Peaks and Valleys,Canadian Thoroughbred racehorse,caballo,hipología
Pearl Cap,French-bred Thoroughbred racehorse,caballo,hipología
Pearl Diver,French Thoroughbred racehorse,caballo,hipología
Pearl Necklace,race horse,caballo,hipología
Pecho Dexter,Quarter Horse show horse,caballo,hipología
Peeping Fawn,American-bred Thoroughbred racehorse,caballo,hipología
Pelisse,British racehorse (1801–1810),caballo,hipología
Penelope,horse,caballo,hipología
Pennekamp,American-bred Thoroughbred racehorse,caballo,hipología
Pensive,horse,caballo,hipología
Pentire,British Thoroughbred racehorse,caballo,hipología
Peppers Pride,American-bred Thoroughbred racehorse,caballo,hipología
Peppy San,Quarter Horse show horse and sire,caballo,hipología
Peppy San Badger,Quarter Horse show horse and sire,caballo,hipología
Percy Hope,American-bred Thoroughbred racehorse,caballo,hipología
Perdita,British-bred Thoroughbred racehorse,caballo,hipología
Perfect Drift,American-bred Thoroughbred racehorse,caballo,hipología
Perfect Promise,South African-bred Thoroughbred racehorse,caballo,hipología
Perfect Shirl,American-bred Thoroughbred racehorse,caballo,hipología
Perfect Sting,American-bred Thoroughbred racehorse,caballo,hipología
Perrault,British-bred Thoroughbred racehorse,caballo,hipología
Persian Punch,Irish-bred Thoroughbred racehorse,caballo,hipología
Persimmon,horse,caballo,hipología
Personal Ensign,American-bred Thoroughbred racehorse,caballo,hipología
Personal Flag,American-bred Thoroughbred racehorse,caballo,hipología
Personality,American-bred Thoroughbred racehorse,caballo,hipología
Pet Bully,American-bred Thoroughbred racehorse,caballo,hipología
Peter McCue,Quarter Horse and/or Thoroughbred racehorse and sire,caballo,hipología
Aachen Lacquer Shield Owl,pigeon breed,raza de palomas,
Old German Moorhead,pigeon breed,raza de palomas,
Old German Owl,pigeon breed,raza de palomas,
Altenburg Trumpeter,pigeon breed,raza de palomas,
Old Dutch Capuchine,pigeon breed,raza de palomas,
King,breed of pigeon,raza de palomas,
Jacobin,pigeon breed,raza de palomas,
Berne Gugger,pigeon breed,raza de palomas,
Brunner Pouter,pigeon breed,raza de palomas,
Bohemian Pigeon,pigeon breed,raza de palomas,
German Modena,pigeon breed,raza de palomas,
German Nun,pigeon breed,raza de palomas,
American Show Racer,pigeon breed,raza de palomas,
Ice Pigeon,pigeon breed,raza de palomas,
Elster Cropper,pigeon breed,raza de palomas,
Buchon Gaditano-Jerezano,pigeon breed,raza de palomas,
Gimpel,pigeon breed,raza de palomas,
French Pouter,pigeon breed,raza de palomas,
Thuringian Whitehead,pigeon breed,raza de palomas,
Thuringian Cropper,pigeon breed,raza de palomas,
Oriental Roller,pigeon breed,raza de palomas,
Schmolln Trumpeter,pigeon breed,raza de palomas,
Columba livia domestica,pigeon breed,raza de palomas,
Rakovnik Roller,pigeon breed,raza de palomas,
Lausitz Tumbler,pigeon breed,raza de palomas,
Gelderland Slenke,pigeon breed,raza de palomas,
Polish Lynx,pigeon breed,raza de palomas,
Hyacinth Pigeon,pigeon breed,raza de palomas,
English Pouter,pigeon breed,raza de palomas,
Dutch Highflyer,pigeon breed,raza de palomas,
Stralsund Highflyer,pigeon breed,raza de palomas,
Thuringian White Tail,pigeon breed,raza de palomas,
Turbiteen,pigeon breed,raza de palomas,
Dutch Beauty Homer,pigeon breed,raza de palomas,
Nun,pigeon breed,raza de palomas,
Nord Caucasian Tumbler,pigeon breed,raza de palomas,
South German Monk,pigeon breed,raza de palomas,
Königsberg Coloured Head Tumbler,pigeon breed,raza de palomas,
Voorburg Shield Cropper,pigeon breed,raza de palomas,
Reversewing Pouter,pigeon breed,raza de palomas,
Triganino Modena,pigeon breed,raza de palomas,
Anatolian Ringbeater,breed of fancy pigeon,raza de palomas,
English Owl,pigeon breed,raza de palomas,
Antwerp Smerle,pigeon breed,raza de palomas,
Armavir Muffed White-Headed,,raza de palomas,
Q4071708,,raza de palomas,
Berlin Short Faced Tumbler,pigeon breed,raza de palomas,
Blagodar Tumbler,pigeon breed,raza de palomas,
Volga Tumbler,,raza de palomas,
Griwuni Tumbler,pigeon breed,raza de palomas,
Q4211935,,raza de palomas,
Q4304206,,raza de palomas,
German Beauty Homer,pigeon breed,raza de palomas,
Q4320537,,raza de palomas,
Q4400733,,raza de palomas,
Colombofilia,pigeon breed,raza de palomas,
Q4477511,,raza de palomas,
Chistopolian High-flying Pigeon,pigeon breed,raza de palomas,
Q4534056,,raza de palomas,
African Owl,pigeon breed,raza de palomas,
Giant Runt,pigeon breed,raza de palomas,
Ancient Tumbler,pigeon breed,raza de palomas,
Arabian Trumpeter,pigeon breed,raza de palomas,
Armenian Tumbler,breed of pigeon,raza de palomas,
Australian Performing Tumbler,pigeon breed,raza de palomas,
Belgian Ringbeater,pigeon breed,raza de palomas,
Berlin Long Faced Tumbler,pigeon breed,raza de palomas,
Bijeljina Roller,pigeon breed,raza de palomas,
Birmingham Roller,pigeon breed,raza de palomas,
Bohemian Fairy Swallow,pigeon breed,raza de palomas,
Breslau Tumbler,pigeon breed,raza de palomas,
British Show Racer,pigeon breed,raza de palomas,
Budapest Highflyer,pigeon breed,raza de palomas,
Budapest Short Face Tumbler,pigeon breed,raza de palomas,
Bursa Tumbler,pigeon breed,raza de palomas,
Carneau,pigeon breed,raza de palomas,
Cauchois,pigeon breed,raza de palomas,
Coburg Lark,pigeon breed,raza de palomas,
Cologne Tumbler,pigeon breed,raza de palomas,
Crested Soultz,pigeon breed,raza de palomas,
Cumulet,pigeon breed,raza de palomas,
Damascene,pigeon breed,raza de palomas,
Danish Suabian,pigeon breed,raza de palomas,
Danish Tumbler,pigeon breed,raza de palomas,
Danzig Highflyer,pigeon breed,raza de palomas,
Debrecin Roller,pigeon breed,raza de palomas,
Domestic Show Flight,pigeon breed,raza de palomas,
Domino Frill,pigeon breed,raza de palomas,
Donek,pigeon breed,raza de palomas,
Dragoon,pigeon breed,raza de palomas,
Dresden Trumpeter,pigeon breed,raza de palomas,
Egyptian Swift,pigeon breed,raza de palomas,
English Fantail,pigeon breed,raza de palomas,
English Long Faced Tumbler,pigeon breed,raza de palomas,
English Magpie,pigeon breed,raza de palomas,
English Short-Faced Tumbler,pigeon breed,raza de palomas,
English Trumpeter,pigeon breed,raza de palomas,
French Mondain,pigeon breed,raza de palomas,
Galatz Roller,pigeon breed,raza de palomas,
Ghent Cropper,pigeon breed,raza de palomas,
Helmet,pigeon breed,raza de palomas,
Buchón gorguero,,raza de palomas,
Buchón jiennense,raza de paloma,raza de palomas,
Buchón laudino sevillano,,raza de palomas,
Holle Cropper,pigeon breed,raza de palomas,
Indian Gola,pigeon breed,raza de palomas,
Old Fashioned Oriental Frill,pigeon breed,raza de palomas,
Iranian Highflying Tumbler,Pigeon,raza de palomas,
Kiev Tumbler,pigeon breed,raza de palomas,
Lahore,pigeon breed,raza de palomas,
Lucerne Gold Collar,pigeon breed,raza de palomas,
Modena,pigeon breed,raza de palomas,
Nis highflyer,breed of Fancy pigeon,raza de palomas,
Norwich Cropper,pigeon breed,raza de palomas,
Old Dutch Tumbler,pigeon breed,raza de palomas,
Oriental Frill,pigeon breed,raza de palomas,
Parlor Roller,a breed of domesticated pigeons,raza de palomas,
Pigmy Pouter,pigeon breed,raza de palomas,
Polish Helmet,pigeon breed,raza de palomas,
Roshan Chirag,breed of pigeon,raza de palomas,
Saxon Wing Pigeon,pigeon breed,raza de palomas,
Saxon Monk,pigeon breed,raza de palomas,
Saxon Spot,pigeon breed,raza de palomas,
Scandaroon,pigeon breed,raza de palomas,
Schmalkalden Moorhead,pigeon breed,raza de palomas,
Serbian Highflyer,pigeon breed,raza de palomas,
Shiraz Tumbler,pigeon breed,raza de palomas,
Sivas Kumru Güvercin,breed of pigeon,raza de palomas,
South German Shield,pigeon breed,raza de palomas,
Stargard Shaker,pigeon breed,raza de palomas,
Starling,pigeon breed,raza de palomas,
Strasser,pigeon breed,raza de palomas,
Sverdlovsk blue-gray mottle-headed pigeon,breed of pigeon,raza de palomas,
Szegedin Highflyer,pigeon breed,raza de palomas,
Bokhara Trumpeter,pigeon breed,raza de palomas,
Indian Fantail,pigeon breed,raza de palomas,
Italian Owl,pigeon breed,raza de palomas,
Figurita Valenciana,pigeon breed,raza de palomas,
West of England Tumbler,pigeon breed,raza de palomas,
Felégyhaza Tumbler,pigeon breed,raza de palomas,
Turbit,pigeon breed,raza de palomas,
Maltese,pigeon breed,raza de palomas,
Ukrainian Skycutter,pigeon breed,raza de palomas,
Ural striped maned pigeon,breed of pigeon,raza de palomas,
Vienna Highflyer,pigeon breed,raza de palomas,
Mariolinha,pigeon breed,raza de palomas,
Mariola,pigeon breed,raza de palomas,
Criador Lusitano,pigeon breed,raza de palomas,
Spanish Pigeon,pigeon breed,raza de palomas,
Casta Grossa,pigeon breed,raza de palomas,
Polish Wattle Pigeon,pigeon breed,raza de palomas,
Ojo de Fresa,pigeon breed,raza de palomas,
Pomeranian Cropper,pigeon breed,raza de palomas,
Buchon Morrilero,pigeon breed,raza de palomas,
Saxon White Tail,pigeon breed,raza de palomas,
Saxon Stork Pigeon,pigeon breed,raza de palomas,
Bernburg Trumpeter,pigeon breed,raza de palomas,
Franconian Trumpeter,pigeon breed,raza de palomas,
Old German Magpie Tumbler,pigeon breed,raza de palomas,
Timisoara Tumbler,pigeon breed,raza de palomas,
Agaran Pigeon,pigeon breed,raza de palomas,
Posen Coloured Head Tumbler,pigeon breed,raza de palomas,
Portugal Tumbler,pigeon breed,raza de palomas,
Pinta,pigeon breed,raza de palomas,
Bialostocka Krymka Tumbler,pigeon breed,raza de palomas,
Polish Shortbeak Tumbler,pigeon breed,raza de palomas,
Low Silesian muffed Tumbler,pigeon breed,raza de palomas,
Sarajewo Roller,pigeon breed,raza de palomas,
Escampadissa,pigeon breed,raza de palomas,
Q9179489,,raza de palomas,
Polish Bagdad,,raza de palomas,
Borino,,raza de palomas,
Hana Pouter,Race of pigeons,raza de palomas,
Thuringian White Bib,,raza de palomas,
Viennese Short-Faced Tumbler,,raza de palomas,
Bohemian Tumbler,pigeon breed,raza de palomas,
Prague Short-Faced Tumbler,,raza de palomas,
Bohemian Ice Cropper,,raza de palomas,
Bohemian Steller Cropper,,raza de palomas,
Prachen Kanik,,raza de palomas,
Moravian Strasser,,raza de palomas,
Moravian Bagdad,,raza de palomas,
Nuremberg Lark,,raza de palomas,
Slowakian Cropper,,raza de palomas,
Franconian Bagdad,,raza de palomas,
Runt,pigeon breed,raza de palomas,
Bohemian Bagdad,,raza de palomas,
Silesian Colourhead,,raza de palomas,
Silesian Cropper,,raza de palomas,
Moravian Magpie Cropper,,raza de palomas,
Bohemian Cropper,,raza de palomas,
Moravian Morak Cropper,,raza de palomas,
Benesov Pigeon,pigeon breed,raza de palomas,
Ostrava Bagdad,,raza de palomas,
Bohemian Trumpeter,,raza de palomas,
German Double Crested Trumpeter,,raza de palomas,
German Beak Crested Trumpeter,,raza de palomas,
Florentine,,raza de palomas,
Hungarian,type of pigeon,raza de palomas,
Hamburg Helmet,,raza de palomas,
Peter Pan III,Australian-bred Thoroughbred racehorse,caballo,hipología
Peter Pan I,American Thoroughbred racehorse,caballo,hipología
Peter Simple,British racehorse,caballo,hipología
Peter the Great,American racehorse,caballo,hipología
Peteski,Canadian-bred Thoroughbred racehorse,caballo,hipología
Petingo,British-bred Thoroughbred racehorse,caballo,hipología
Petite Evander,New Zealand Standardbred racehorse,caballo,hipología
Petite Etoile,British-bred Thoroughbred racehorse,caballo,hipología
Petoski,British-bred Thoroughbred racehorse,caballo,hipología
Petrarch,British-bred Thoroughbred racehorse,caballo,hipología
Phalanx,Horse,caballo,hipología
Phalaris,Caballo purasangre,caballo,hipología
Phantom,British Thoroughbred racehorse and sire,caballo,hipología
Pharamond,English Thoroughbred racehorse,caballo,hipología
Pharis,Caballo purasangre,caballo,hipología
Pharos,Caballo purasangre,caballo,hipología
Pherenikos,Ancient Greek racehorse,caballo,hipología
Phil Drake,French-bred Thoroughbred racehorse,caballo,hipología
Phone Chatter,American-bred Thoroughbred racehorse,caballo,hipología
Phosphorus,race horse,caballo,hipología
Pia Star,American-bred Thoroughbred racehorse,caballo,hipología
Pianissima,Arabian mare,caballo,hipología
Piet,horse,caballo,hipología
Pik As,,caballo,hipología
Pilaster,American-bred Thoroughbred racehorse,caballo,hipología
Pillory,racehorse,caballo,hipología
Pilsudski,Irish-bred Thoroughbred racehorse,caballo,hipología
Pine Bluff,American-bred Thoroughbred racehorse,caballo,hipología
Pine Circle,American-bred Thoroughbred racehorse,caballo,hipología
Pine Island,American Thoroughbred racehorse,caballo,hipología
Pink Star,American-bred Thoroughbred racehorse,caballo,hipología
Pinza,caballo de carreras (1950-1977),caballo,hipología
Pioneerof the Nile,caballo purasangre estadounidense,caballo,hipología
Piping Lane,Australian-bred Thoroughbred racehorse,caballo,hipología
Pistols and Roses,American-bred Thoroughbred racehorse,caballo,hipología
Placid Ark,Australian-bred Thoroughbred racehorse,caballo,hipología
Plaisanterie,French-bred Thoroughbred racehorse,caballo,hipología
Platter,Thoroughbred racehorse,caballo,hipología
Plaudit,Thoroughbred racehorse,caballo,hipología
Play On,American-bred Thoroughbred racehorse,caballo,hipología
Play the King,Canadian Thoroughbred racehorse,caballo,hipología
Playful Act,racing horse,caballo,hipología
Pleasant Tap,American-bred Thoroughbred racehorse,caballo,hipología
Pleasantly Perfect,American-bred Thoroughbred racehorse,caballo,hipología
Plenipotentiary,British racehorse,caballo,hipología
Plucky Liege,horse,caballo,hipología
Plugged Nickle,American-bred Thoroughbred racehorse,caballo,hipología
Pocahontas,Caballo purasangre,caballo,hipología
Poco Bueno,American Quarter Horse stallion,caballo,hipología
Poco Lena,Quarter Horse show horse and broodmare,caballo,hipología
Poco Pine,Quarter Horse show horse and sire,caballo,hipología
Poetin 2,,caballo,hipología
Point Determined,American-bred Thoroughbred racehorse,caballo,hipología
Point Given,American-bred Thoroughbred racehorse,caballo,hipología
Politely,American-bred Thoroughbred racehorse,caballo,hipología
Polo Prince,New Zealand-bred Thoroughbred racehorse,caballo,hipología
Poltroon,,caballo,hipología
Polymelus,Caballo purasangre,caballo,hipología
Polynesian,Caballo purasangre estadounidense,caballo,hipología
Pommern,Caballo purasangre,caballo,hipología
Pompey,horse,caballo,hipología
Pompoon,American-bred Thoroughbred racehorse,caballo,hipología
Pont l'Eveque,British Thoroughbred racehorse,caballo,hipología
Pop Rock,race horse,caballo,hipología
Popcorn Deelites,American-bred Thoroughbred racehorse,caballo,hipología
Pope,Irish horse (1806-1831),caballo,hipología
Pope Joan,Thoroughbred racehorse,caballo,hipología
Popeye K,,caballo,hipología
Popkins,British-bred Thoroughbred racehorse,caballo,hipología
Popsy,New Zealand-bred Thoroughbred racehorse,caballo,hipología
Popular Alm,Australian Standardbred racehorse,caballo,hipología
Porterhouse,American-bred Thoroughbred racehorse,caballo,hipología
Poseidon,Race horse,caballo,hipología
Pot O'Luck,American-bred Thoroughbred racehorse,caballo,hipología
Potoooooooo,racehorse,caballo,hipología
Pounced,American-bred Thoroughbred racehorse,caballo,hipología
Pour Moi,"thoroughbred racehorse, foaled 2008",caballo,hipología
Pourparler,Irish-bred Thoroughbred racehorse,caballo,hipología
Power,"racehorse from England, trained in Ireland",caballo,hipología
Power Duke,Australian-bred Thoroughbred racehorse,caballo,hipología
Prairie Bayou,American-bred Thoroughbred racehorse,caballo,hipología
Precious Bunny,American Standardbred racehorse,caballo,hipología
Precious Kitten,American-bred Thoroughbred racehorse,caballo,hipología
Precipitation,racehorse,caballo,hipología
Precisionist,American-bred Thoroughbred racehorse,caballo,hipología
Premonition,British-bred Thoroughbred racehorse,caballo,hipología
Preserve,British Thoroughbred racehorse,caballo,hipología
Presious Passion,American-bred Thoroughbred racehorse,caballo,hipología
Pretender,racehorse,caballo,hipología
Pretendre,British-bred Thoroughbred racehorse,caballo,hipología
Priam,horse,caballo,hipología
Prime Defender,racehorse,caballo,hipología
Primonetta,American-bred Thoroughbred racehorse,caballo,hipología
Prince Blessed,American-bred Thoroughbred racehorse,caballo,hipología
Prince John,race horse,caballo,hipología
Prince Leopold,horse,caballo,hipología
Prince Palatine,British Thoroughbred racehorse,caballo,hipología
Prince Rose,Caballo purasangre,caballo,hipología
Prince Royal,race horse,caballo,hipología
Princequillo,Caballo purasangre,caballo,hipología
Regal Classic,Canadian-bred Thoroughbred racehorse,caballo,hipología
Regal Discovery,Canadian-bred Thoroughbred racehorse,caballo,hipología
Regal Embrace,Canadian-bred Thoroughbred racehorse,caballo,hipología
Regal Engagement,American-bred Thoroughbred racehorse,caballo,hipología
Regal Intention,Canadian-bred Thoroughbred racehorse,caballo,hipología
Regal Gleam,horse,caballo,hipología
Regret,Thoroughbred racehorse,caballo,hipología
Reigh Count,horse,caballo,hipología
Reipas,race horse,caballo,hipología
Rejected,American-bred Thoroughbred racehorse,caballo,hipología
Relaunch,racehorse,caballo,hipología
Relaxed Gesture,Irish-bred Thoroughbred racehorse,caballo,hipología
Relaxing,American-bred Thoroughbred racehorse,caballo,hipología
Reliance,horse,caballo,hipología
Relko,horse,caballo,hipología
Remember Rose,Irish-bred Thoroughbred racehorse,caballo,hipología
Research,champion Australian Thoroughbred racehorse,caballo,hipología
Reset,Australian-bred Thoroughbred racehorse,caballo,hipología
Reveller,horse,caballo,hipología
Reverence,horse,caballo,hipología
Revidere,American-bred Thoroughbred racehorse,caballo,hipología
Reviewer,American race horse,caballo,hipología
Revoque,Irish-bred Thoroughbred racehorse,caballo,hipología
Rewilding,racing horse,caballo,hipología
Rex,horse who appeared in several films,caballo,hipología
Rhadamanthus,horse,caballo,hipología
Rheingold,Irish-bred Thoroughbred racehorse,caballo,hipología
Rhine Maiden,American-bred Thoroughbred racehorse,caballo,hipología
Rhinestone Cowboy,horse,caballo,hipología
Rhoda,British-bred Thoroughbred racehorse,caballo,hipología
Rhythm,race horse,caballo,hipología
Ribero,American race horse,caballo,hipología
Ribocco,American-bred Thoroughbred racehorse,caballo,hipología
Ridan,American-bred Thoroughbred racehorse,caballo,hipología
Ridgewood Pearl,British-bred Thoroughbred racehorse,caballo,hipología
Right Boy,Irish-bred Thoroughbred racehorse,caballo,hipología
Right Royal,French-bred Thoroughbred racehorse,caballo,hipología
Right Tack,Irish-bred Thoroughbred racehorse,caballo,hipología
Riley,American racehorse,caballo,hipología
Rince Ri,Irish-bred Thoroughbred racehorse,caballo,hipología
Ring the Bell,New Zealand-bred Thoroughbred racehorse,caballo,hipología
Rip Van Winkle,race horse,caballo,hipología
Risen Star,American-bred Thoroughbred racehorse,caballo,hipología
Rising Fast,New Zealand-bred Thoroughbred racehorse,caballo,hipología
Rite of Passage,Thoroughbred racehorse,caballo,hipología
Riva Ridge,"thoroughbred race horse, winner of the 1972 Kentucky Derby and Belmont Stakes",caballo,hipología
River Memories,American-bred Thoroughbred racehorse,caballo,hipología
Roar Emotion,American-bred Thoroughbred racehorse,caballo,hipología
Robalan,New Zealand Standardbred racehorse,caballo,hipología
Robert the Devil,British Thoroughbbred racehorse,caballo,hipología
Roberto,horse,caballo,hipología
Robinson,horse that competed in Grand Prix show jumping,caballo,hipología
Rock Hard Ten,American thoroughbred racehorse and sire,caballo,hipología
Rock On Ruby,Thiroughbred racehorse,caballo,hipología
Rock Sand,British Thoroughbred race horse,caballo,hipología
Rockavon,British-bred Thoroughbred racehorse,caballo,hipología
Rocket Bar,20th-century American Thoroughbred racehorse and sire,caballo,hipología
Rocket Wrangler,Quarter Horse racehorse and sire,caballo,hipología
Rockfel,British-bred Thoroughbred racehorse,caballo,hipología
Rockhill Native,American-bred Thoroughbred racehorse,caballo,hipología
Rockingham,race horse,caballo,hipología
Roderic O'Connor,Irish-bred Thoroughbred racehorse,caballo,hipología
Rodrigo de Triano,American-bred Thoroughbred racehorse,caballo,hipología
Rogan Josh,Australian-bred Thoroughbred racehorse,caballo,hipología
Rogilla,Australian-bred Thoroughbred racehorse,caballo,hipología
Roi Dagobert,French-bred Thoroughbred racehorse,caballo,hipología
Roman Arch,Australian-bred Thoroughbred racehorse,caballo,hipología
Roman Brother,American-bred Thoroughbred racehorse,caballo,hipología
Roman Line,American-bred Thoroughbred racehorse,caballo,hipología
Ronas Ryon,Quarter Horse racehorse and sire,caballo,hipología
Rosalind,American Standardbred racehorse,caballo,hipología
Rose of Kingston,Australian-bred Thoroughbred racehorse,caballo,hipología
Roseben,American-bred Thoroughbred racehorse,caballo,hipología
Rosemont,American-bred Thoroughbred racehorse,caballo,hipología
Roses in May,American Thoroughbred racehorse,caballo,hipología
Rough'n Tumble,horse,caballo,hipología
Rough Habit,New Zealand Thoroughbred racehorse,caballo,hipología
Rough Quest,British-bred Thoroughbred racehorse,caballo,hipología
Round Pond,American-bred Thoroughbred racehorse,caballo,hipología
Round Table,horse,caballo,hipología
Roving Boy,American-bred Thoroughbred racehorse,caballo,hipología
Rowena,British Thoroughbred racehorse,caballo,hipología
Rowton,horse,caballo,hipología
Rox Dene,,caballo,hipología
Roy Olcott,American Standardbred racehorse,caballo,hipología
Royal Academy,caballo de carreras,caballo,hipología
Royal Anthem,American-bred Thoroughbred racehorse,caballo,hipología
Royal Applause,British-bred Thoroughbred racehorse,caballo,hipología
Royal Athlete,British Thoroughbred racehorse,caballo,hipología
Royal Charger,Caballo purasangre,caballo,hipología
Royal Chocolate,Canadian-bred Thoroughbred racehorse,caballo,hipología
Royal Delta,American-bred Thoroughbred racehorse,caballo,hipología
Royal Gem,Australian Thoroughbred racehorse,caballo,hipología
Royal Glint,American-bred Thoroughbred racehorse,caballo,hipología
Royal Heroine,Irish-bred Thoroughbred racehorse,caballo,hipología
Royal King,Quarter Horse show horse and sire,caballo,hipología
Royal Oath,American-bred Thoroughbred racehorse,caballo,hipología
Royal Orbit,American-bred Thoroughbred racehorse,caballo,hipología
Royal Palace,British-bred Thoroughbred racehorse,caballo,hipología
Royal Santana,Quarter Horse show horse,caballo,hipología
Cabra de Gävle,"straw Christmas goat in Gävle, Sweden",Julbock,
Cabra majorera,raza caprina,raza de cabra,
American Lamancha,American breed of goat,raza de cabra,
Cabra de Angora,goat breed,raza de cabra,
Appenzell Goat,goat breed,raza de cabra,
Saanen,goat breed,raza de cabra,
Stiefelgeiss,goat breed,raza de cabra,
boer chivas,Raza Europea de Caprino,raza de cabra,
Black Bengal,goat breed,raza de cabra,
Bunte Deutsche Edelziege,goat breed,raza de cabra,
Dutch Pied,goat breed,raza de cabra,
Toggenburg,goat breed,raza de cabra,
Weiße Deutsche Edelziege,goat breed,raza de cabra,
Tauernsheck,goat breed,raza de cabra,
cabra Girgentana,goat breed,raza de cabra,
Erzgebirge Goat,goat breed,raza de cabra,
fainting goat,goat breed,raza de cabra,
Golden Guernsey,goat breed,raza de cabra,
Yemen Mountain Goat,,raza de cabra,
Somali goat,goat breed,raza de cabra,
Chamois Coloured Goat,goat breed,raza de cabra,
Capra Grigia,goat breed,raza de cabra,
Peacock goat,goat breed,raza de cabra,
Orenburg,goat breed,raza de cabra,
Cabra de Juan Fernández,goat breed,raza de cabra,
Thuringian Goat,goat breed,raza de cabra,
Pygmy goat,goat breed,raza de cabra,
Copper Neck Goat,goat breed,raza de cabra,
Capra hircus kelleri,goat breed,raza de cabra,
Passeirer Gebirgsziege,goat breed,raza de cabra,
Pyrenean goat,goat breed,raza de cabra,
Dutch white goat,goat breed,raza de cabra,
Vierhornziege,,raza de cabra,
Dutch Landrace,goat breed,raza de cabra,
Anglo-Nubian,British breed of goat,raza de cabra,
Alpine,goat breed,raza de cabra,
Belgian Fawn,goat breed,raza de cabra,
Chèvre cou-clair du Berry,goat breed,raza de cabra,
Chèvre des fossés,goat breed,raza de cabra,
Corsican goat,goat breed,raza de cabra,
Kiko goat,goat breed,raza de cabra,
Kirdimi,goat breed,raza de cabra,
Massif central goat,goat breed,raza de cabra,
Q3408283,goat breed,raza de cabra,
Rove goat,goat breed,raza de cabra,
Spanish goat,goat breed,raza de cabra,
Q3518105,goat breed,raza de cabra,
jamunapari,Indian breed of goat,raza de cabra,
Beetal,goat breed,raza de cabra,
Oberhasli,goat breed,raza de cabra,
Pygora goat,goat breed,raza de cabra,
Sable Saanen,goat breed,raza de cabra,
Australian Cashmere Goat,goat breed,raza de cabra,
Capra dell'Aspromonte,goat breed,raza de cabra,
San Clemente Island goat,goat breed,raza de cabra,
Frisa Valtellinese,goat breed,raza de cabra,
Garganica,goat breed,raza de cabra,
Nigerian Dwarf,goat breed,raza de cabra,
Mini Oberhasli,goat breed,raza de cabra,
Nicastrese,goat breed,raza de cabra,
Altai Mountain Goat,goat breed,raza de cabra,
Arapawa Goat,goat breed,raza de cabra,
Bagot goat,"Rare breed of goat originating at Blithfield Hall, Staffordshire, England",raza de cabra,
Barbari goat,goat breed,raza de cabra,
Bilberry goat,goat breed,raza de cabra,
British Alpine,goat breed,raza de cabra,
Carpathian,goat breed,raza de cabra,
Chamba,goat breed,raza de cabra,
Charnequeira,goat breed,raza de cabra,
Chengde Polled,goat breed,raza de cabra,
Chengdu Brown,goat breed,raza de cabra,
Chigu goat,goat breed,raza de cabra,
Damascus goat,goat breed,raza de cabra,
Don Goat,goat breed,raza de cabra,
Duan goat,goat breed,raza de cabra,
Dutch Toggenburg,goat breed,raza de cabra,
Chivito criollo del norte neuquino,goat breed,raza de cabra,
Grisons Striped,goat breed,raza de cabra,
Cabra blanca andaluza,goat breed,raza de cabra,
Cabra florida,,raza de cabra,
Cabra granadina,breed of goat,raza de cabra,
Cabra malagueña,Spanish goat breed,raza de cabra,
cabra payoya,raza de cabra de España,raza de cabra,
Hexi Cashmere,goat breed,raza de cabra,
Argentata dell'Etna,goat breed,raza de cabra,
Messinese goat,goat breed,raza de cabra,
Red Mediterranean,goat breed,raza de cabra,
Huai,goat breed,raza de cabra,
Icelandic goat,goat breed,raza de cabra,
Kalahari Red,goat breed,raza de cabra,
Jining Grey,goat breed,raza de cabra,
Jonica,goat breed,raza de cabra,
Kaghani,goat breed,raza de cabra,
Kamori,goat breed,raza de cabra,
Kinder,goat breed,raza de cabra,
Maltese,goat breed,raza de cabra,
Moxotó,goat breed,raza de cabra,
Murciana goat,goat breed,raza de cabra,
Norwegian,goat breed,raza de cabra,
Orobica,goat breed,raza de cabra,
Princess Coup,Australian-bred Thoroughbred racehorse,caballo,hipología
Princess Doreen,American-bred Thoroughbred racehorse,caballo,hipología
Princess Rooney,race horse,caballo,hipología
Princessnesian,Caballo purasangre,caballo,hipología
Priolo,American-bred Thoroughbred racehorse,caballo,hipología
Private Account,American Thoroughbred racehorse,caballo,hipología
Private Terms,American-bred Thoroughbred racehorse,caballo,hipología
Private Vow,American-bred Thoroughbred racehorse,caballo,hipología
Prize Lady,horse,caballo,hipología
Prized,racehorse,caballo,hipología
Problem,racehorse,caballo,hipología
Process Shot,American Thoroughbred racehorse,caballo,hipología
Proctor Knott,American Thoroughbred racehorse,caballo,hipología
Prophecy,thoroughbred racehorse,caballo,hipología
Prospective Dolly,American-bred Thoroughbred racehorse,caballo,hipología
Prospectors Delite,American-bred Thoroughbred racehorse,caballo,hipología
Proud Accolade,American Thoroughbred racehorse,caballo,hipología
Proud Birdie,American Thoroughbred racehorse,caballo,hipología
