imagen,video,audio,animalLabel
,,,Lottatore Brindisino
,,,Koyun dog
,,,Lapponian Shepherd
http://commons.wikimedia.org/wiki/Special:FilePath/Chamuco3.jpg,,,Perro Chamuco
,,,Pitbull Mexicano
,,,Q18450711
http://commons.wikimedia.org/wiki/Special:FilePath/Bull-mastif%20brasileiro%204.jpg,,,Bull-mastiff brasileiro
,,,Shorty Bull
,,,Q19702802
,,,Q19704923
,,,Q19708791
http://commons.wikimedia.org/wiki/Special:FilePath/5-%D8%B7%D8%A8%DB%8C%D8%B9%D8%AA%20%D8%B1%D9%88%D8%B3%D8%AA%D8%A7%DB%8C%20%D8%B5%D9%88%D9%85%D8%B9%D9%87%20%D9%85%D9%84%DA%A9%D8%B4%D8%A7%D9%87%20%D8%B3%DA%AF%20%D8%B3%D8%B1%D8%A7%D8%A8.jpg,,,Pastor Persa
,,,American Squirrel Dog
,,,Q20379407
,,,Q20379411
,,,Q20379415
,,,Q20379447
,,,Capheaton Terrier
,,,Q20379483
,,,Q20379507
,,,Q20379518
,,,Q20379665
,,,Q20379893
,,,Q20379992
,,,Q20380018
,,,Q20380084
,,,Murcian Ratter
,,,Irish Staffordshire Bull Terrier
,,,Ameri-Indian Alaskan Husky
,,,Q22130213
,,,Carea Castellano Manchego
http://commons.wikimedia.org/wiki/Special:FilePath/Dogo%20Espa%C3%B1ol%20Arturo%20de%20los%20Tarantos.jpg,,,Dogo español
,,,Anatolian Greyhound
,,,badger dog
http://commons.wikimedia.org/wiki/Special:FilePath/Monkey%20Bizniz%20Drama%20Queen.jpg,,,Griffon Bruxellois
,,,Perro tahitiano
http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9C%D0%B5%D0%B4%D0%B5%D0%BB%D1%8F%D0%BD%20%28%D0%BF%D0%BE%D1%80%D0%BE%D0%B4%D0%B0%20%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%29.jpg,,,Medelyan
,,,Spino siciliano
http://commons.wikimedia.org/wiki/Special:FilePath/Cane%20pecoraio%20varbutu.jpg,,,Cane Pecoraio Varbutu
,,,Q46717548
http://commons.wikimedia.org/wiki/Special:FilePath/Pshdar%20Dog-Kurdish%20Dog-Kurd%20Mastiff.jpg,,,Pshdar dog
,,,Polish Hunting Spaniel
,,,Q56325365
,,,American Wolfdog
,,,Calupoh
http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%A3o%20Original%20Fila%20Brasileiro%20-%20Drag%C3%A3o.jpg,,,Original Fila Brasileiro
http://commons.wikimedia.org/wiki/Special:FilePath/Cadela%20Original%20Fila%20Brasileiro%20-%20branca.jpg,,,Original Fila Brasileiro
http://commons.wikimedia.org/wiki/Special:FilePath/Original%20Fila%20tigrado%20-%20perfil.jpg,,,Original Fila Brasileiro
http://commons.wikimedia.org/wiki/Special:FilePath/Tupa%20do%20Canchin%2008.jpg,,,Bullbras
http://commons.wikimedia.org/wiki/Special:FilePath/King%20of%20Red%20Sky.jpg,,,Pit Monster
http://commons.wikimedia.org/wiki/Special:FilePath/Bulgarian%20Shepherd%20Dog%2016.jpg,,,Bulgarian Shepherd Dog
,,,Working Pit Bulldog
,,,American Working Red
,,,Denmark Feist
,,,Q62669252
,,,Ramanathapuram mandai dog
,,,Faroese Sheepdog
,,,Q65229149
,,,English bull terrier
http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Fauve%20de%20Bretagne.jpg,,,Grand Fauve de Bretagne
,,,Andalusian Mouse-Hunting Terrier
http://commons.wikimedia.org/wiki/Special:FilePath/Westiepoo%20age%2011.jpg,,,westiepoo
http://commons.wikimedia.org/wiki/Special:FilePath/Westiepoo%20age%207.jpg,,,westiepoo
,,,Gerberian Shepsky
,,,Kars dog
,,,Lakeland Foxhound
,,,English Staghound
,,,Strathdoon dingo killer
,,,Welsh Harrier
,,,Ratonero Palmero
,,,Mi-Ki
http://commons.wikimedia.org/wiki/Special:FilePath/William%20H%20Hopkins%20%28active%201853-1890-d.%201892%29%20-%20Her%20Majesty%27s%20Buckhounds%20with%20the%20Earl%20of%20Hardwicke%2C%20Huntsmen%20and%20Whips%20-%20RCIN%20407840%20-%20Royal%20Collection.jpg,,,Buckhound
http://commons.wikimedia.org/wiki/Special:FilePath/North%20Devon%20Staghounds.jpg,,,Staghound
,,,Chien Blanc du Roi
,,,Norman Hound
http://commons.wikimedia.org/wiki/Special:FilePath/Hounds%20-%20their%20breeding%20and%20kennel%20management%20%281905%29%20%2814740587676%29.jpg,,,West Country Harrier
,,,Aussiedoodle
,,,Frenchton
,,,Tonya Finosu
,,,Q110006522
,,,Q111379461
http://commons.wikimedia.org/wiki/Special:FilePath/Wy%C5%BCe%C5%82%20Gasko%C5%84ski.jpg,,,"Braco francés, tipo «Gascuña»"
http://commons.wikimedia.org/wiki/Special:FilePath/Segugioitalianopelorasofulvo%20%28cropped%29.JPG,,,Segugio italiano de pelo raso
,,,Boo
,,,Sushi
http://commons.wikimedia.org/wiki/Special:FilePath/Hitomi%20the%20Pomchi.jpg,,,Hitomi
,,,Perro de Burlage
,,,Chester Drescher
http://commons.wikimedia.org/wiki/Special:FilePath/Newfoundland%20brown.jpg,,,Terranova
http://commons.wikimedia.org/wiki/Special:FilePath/Newfoundland%20dog%20Smoky.jpg,,,Terranova
http://commons.wikimedia.org/wiki/Special:FilePath/Newfoundlander%20head.JPG,,,Terranova
http://commons.wikimedia.org/wiki/Special:FilePath/Bo%20official%20portrait.jpg,,,Bo
,,,Dzhulbars
,,,Brown Jack
,,,Bruni
,,,Buchanan
,,,Buck's Boy
,,,Buckpasser
,,,Buddy's Saint
,,,Bull Dog
http://commons.wikimedia.org/wiki/Special:FilePath/Bull%20Lea.jpg,,,Bull Lea
,,,Bull Page
http://commons.wikimedia.org/wiki/Special:FilePath/Bullish%20Luck.jpg,,,Bullish Luck
,,,Bunty Lawless
,,,Burgoo King
http://commons.wikimedia.org/wiki/Special:FilePath/Burnt%20corkedited.jpg,,,Burnt Cork
,,,Burrough Hill Lad
,,,Busanda
,,,Busher
,,,Bushranger
,,,Busted
,,,Bustino
http://commons.wikimedia.org/wiki/Special:FilePath/Busybody.jpg,,,Busybody
,,,But Why Not
,,,Buttermilk
,,,Buzzards Bay
,,,C'est La Guerre
,,,Cabral
,,,Cacique
http://commons.wikimedia.org/wiki/Special:FilePath/Cade%20%28GB%29.jpg,,,Cade
http://commons.wikimedia.org/wiki/Special:FilePath/Cadland.jpg,,,Cadland
http://commons.wikimedia.org/wiki/Special:FilePath/Caduceus%20%28NZ%29.jpg,,,Caduceus
,,,Caergwrle
,,,Cafe Prince
,,,Cairngorm
http://commons.wikimedia.org/wiki/Special:FilePath/Caixa%20Eletronica%20in%20True%20North%20post%20parade%20June%209%202012.jpg,,,Caixa Eletronica
,,,Cajun Beat
,,,California Flag
http://commons.wikimedia.org/wiki/Special:FilePath/Califonia%20Memory.jpg,,,California Memory
,,,Calipha
http://commons.wikimedia.org/wiki/Special:FilePath/Call%20Boy%20Derby%20winner.jpg,,,Call Boy
,,,Calvin
,,,Cam's Card Shark
,,,Cam Fella
,,,Camarero
http://commons.wikimedia.org/wiki/Special:FilePath/Camarine%20%28horse%29.jpg,,,Camarine
,,,Came Home
,,,Camel
,,,Camelot
http://commons.wikimedia.org/wiki/Special:FilePath/Cameronian.jpg,,,Cameronian
,,,Campfire
,,,Canadian Bound
,,,Canadian Champ
,,,Canadiana
,,,Candy Ride
,,,Candy Spots
,,,Candy Stripes
,,,Candy Éclair
,,,Canebora
,,,Canford Cliffs
,,,Cannonade
,,,Cañonero II
,,,Cantelo
,,,Capades
,,,Cape Blanco
,,,Cape Cross
,,,Cape Verdi
,,,Cape of Good Hope
,,,Capot
,,,Capote
,,,Captain's Gig
,,,Captain Bodgit
,,,Captain Christy
http://commons.wikimedia.org/wiki/Special:FilePath/Captain%20Cuttle.jpg,,,Captain Cuttle
http://commons.wikimedia.org/wiki/Special:FilePath/CaptainJoy.jpg,,,Captain Joy
http://commons.wikimedia.org/wiki/Special:FilePath/Captain%20Sandy%20%28NZ%29.jpg,,,Captain Sandy
,,,Captain Steve
,,,Captain Sweet
,,,Cara
,,,Cara Rafaela
,,,Caracalla
,,,Caracortado
http://commons.wikimedia.org/wiki/Special:FilePath/Caractacus.jpg,,,Caractacus
http://commons.wikimedia.org/wiki/Special:FilePath/Carbine.jpg,,,Carbine
http://commons.wikimedia.org/wiki/Special:FilePath/Cardigan%20Bay%20%28NZ%29.jpg,,,Cardigan Bay
http://commons.wikimedia.org/wiki/Special:FilePath/Cardinal%20Beaufort%20crop.jpg,,,Cardinal Beaufort
,,,Career Boy
,,,Careless Jewel
http://commons.wikimedia.org/wiki/Special:FilePath/Carling%20King%20and%20Kevin%20Babington%20-%2002.jpg,,,Carling King
,,,Caro
,,,Carotene
,,,Carrozza
,http://commons.wikimedia.org/wiki/Special:FilePath/1961%20Belmont%20Stakes.theora.ogv,,Carry Back
,,,casino Drive
,,,Castle Forbes
,,,Castleshane
,,,Castletown
,,,Casual Look
,,,Cat Thief
,,,Catgut
,,,Cause to Believe
,,,Cavalcade
,,,Seskar Seal Dog
,,,Lavandin
,,,Lawrin
http://commons.wikimedia.org/wiki/Special:FilePath/Lawyer%20Ron.jpg,,,Lawyer Ron
,,,Le Glorieux
,,,Le Moss
,,,Le Pacha
http://commons.wikimedia.org/wiki/Special:FilePath/Leamingtonwoodcutwallaces.jpg,,,Leamington
,,,Left Bank
,,,Leica Guv
,,,Leilani
,,,Lemberg
,,,Lemhi Gold
,,,Lemon Drop Kid
,,,Lemon Souffle
,,,Lemons Forever
,,,Lena's Bar
,,,Leo
http://commons.wikimedia.org/wiki/Special:FilePath/Leonatus%20%28horse%29.jpg,,,Leonatus
,,,Leonnatus Anteas
http://commons.wikimedia.org/wiki/Special:FilePath/Leroidesanimaux%20%282011%29.jpg,,,Leroidesanimaux
,,,Let's Elope
,,,Levmoss
,,,License Fee
,,,Lido Palace
,,,Lieut. Gibson
,,,Life's Magic
,,,Life Is Sweet
,,,Light Fingers
,,,Light Shift
,,,Lil E. Tee
http://commons.wikimedia.org/wiki/Special:FilePath/Lily%20Agnes.jpg,,,Lily Agnes
http://commons.wikimedia.org/wiki/Special:FilePath/Lily%20Of%20the%20Valley.jpg,,,Lily of the Valley
,,,Limehouse
,,,Lincoln Road
,,,Linita
,,,Líon Na Bearnaí
,,,Lisa's Booby Trap
,,,Lit de Justice
,,,Lite Light
,,,Little Current
,,,Little Polveir
http://commons.wikimedia.org/wiki/Special:FilePath/Little%20Wonder%20Derby%20winner.jpg,,,Little Wonder
,,,Lochsong
,,,Lombo Pocket Watch
,,,Lomond
,,,Lonesome Glory
,,,Long Run
,,,Longfellow
http://commons.wikimedia.org/wiki/Special:FilePath/Lonhro1.jpg,,,Lonhro
http://commons.wikimedia.org/wiki/Special:FilePath/Look%20Here.jpg,,,Look Here
,,,Look Who's Talking
http://commons.wikimedia.org/wiki/Special:FilePath/Lookin%20At%20Lucky%20at%202009%20Breeder%27s%20Cup%20Juvenile.jpg,,,Lookin At Lucky
,,,Lookout
,,,Looks Like Trouble
,,,Lope De Vega
,,,Lord
,,,Lord Avie
,,,Lord Gyllene
http://commons.wikimedia.org/wiki/Special:FilePath/Lord%20Lyon.jpg,,,Lord Lyon
,,,Lord Module
,,,Lord Murphy
,,,Lord Reims
,,,Lord of Men
,,,Lordship
,,,Loro Piana TomBoy
http://commons.wikimedia.org/wiki/Special:FilePath/Lost%20in%20the%20Fog.jpg,,,Lost in the Fog
,,,Louis Quatorze
,,,Love Divine
,,,Love Sign
,,,Lucarno
,,,Lucky Debonair
http://commons.wikimedia.org/wiki/Special:FilePath/Lucky%20Nine.jpg,,,Lucky Nine
http://commons.wikimedia.org/wiki/Special:FilePath/Luke%20Blackburn%2001.jpg,,,Luke Blackburn
http://commons.wikimedia.org/wiki/Special:FilePath/Luke%20McLuke%20%28USA%29.jpg,,,Luke McLuke
,,,Lupe
,,,Luskin Star
,,,Lyell Creek
,,,Lyford Cay
,,,Lynx Melody
,,,Lyric Fantasy
,,,Ma Biche
,,,Mac Diarmida
http://commons.wikimedia.org/wiki/Special:FilePath/Macaroni%2C%201863.jpg,,,Macaroni
,,,Macbeth II
,,,Machiavellian
,,,Macho Again
,,,Macho Uno
,,,Macs Joy
,,,Mad Hatter
,,,Maddon's Bright Eyes
,,,Madelia
http://commons.wikimedia.org/wiki/Special:FilePath/GCMTH%20Magic%202.jpg,,,Magic
,,,Magic Weisner
,,,Magnum Psyche
,,,Mahler
http://commons.wikimedia.org/wiki/Special:FilePath/Mamoud.jpg,,,Ù…ØÙ…ÙˆØ¯
,,,Mahogany
http://commons.wikimedia.org/wiki/Special:FilePath/Mahubah.jpg,,,Mahubah
,,,Maid at Arms
,,,Maid of Orleans
http://commons.wikimedia.org/wiki/Special:FilePath/NijinskyII.jpg,,,Nijinsky II
,,,Skowronek
http://commons.wikimedia.org/wiki/Special:FilePath/Manowar1920.jpg,,,Man o' War
,,,Florizel
http://commons.wikimedia.org/wiki/Special:FilePath/Marengo%2C%20Napoleon%20Bonaparte%27s%20Arab%20Stallion%20by%20Antoine-Jean%2C%20Baron%20Gros.jpg,,,Marengo
http://commons.wikimedia.org/wiki/Special:FilePath/Sundaysilence.jpg,,,Sunday Silence
http://commons.wikimedia.org/wiki/Special:FilePath/Seleucos%20I%20Bucephalos%20coin.jpg,,,Bucéfalo
,,,Hatsushiba O
,,,Allabaculia
http://commons.wikimedia.org/wiki/Special:FilePath/Monumento%20Larraguibel.jpg,,,Huaso
http://commons.wikimedia.org/wiki/Special:FilePath/Stsimon01.JPG,,,St. Simon
http://commons.wikimedia.org/wiki/Special:FilePath/Forego.jpg,,,Forego
,,,Gidde Palema
,,,Abdullah
,,,Prometea
,,,Acatenango
http://commons.wikimedia.org/wiki/Special:FilePath/AdlerflugHarzburg1.jpg,,,Adlerflug
http://commons.wikimedia.org/wiki/Special:FilePath/Veghel%20Gestion%20Bonfire%20%282005%29.jpg,,,Bonfire
http://commons.wikimedia.org/wiki/Special:FilePath/Lexington%20%28USA%29.jpg,,,Lexington
,,,Tikkanen
http://commons.wikimedia.org/wiki/Special:FilePath/Rollin%20Cigar.jpg,,,Cigar
http://commons.wikimedia.org/wiki/Special:FilePath/Eri-Aaroni.JPG,,,Eri-Aaroni
http://commons.wikimedia.org/wiki/Special:FilePath/Phar%20Lap.jpg,,,Phar Lap
,http://commons.wikimedia.org/wiki/Special:FilePath/Passage%20Piaffe%20perfect.ogv,,Ahlerich
,,,Victoria Park
,,,Aiken Cura
http://commons.wikimedia.org/wiki/Special:FilePath/Citation%20%28USA%29.jpg,,,Citation
,,,Dahlia
,,,Towerland Anglezarke
http://commons.wikimedia.org/wiki/Special:FilePath/Malacara%20horse%20and%20John%20Daniel%20Evans%20%281906%29%20retouched.jpg,,,Malacara
http://commons.wikimedia.org/wiki/Special:FilePath/CHI%20Gen%C3%A8ve%202013%20-%2020131215%20-%20Steve%20Guerdat%20et%20Nino%20des%20Buissonnets%205.jpg,,,Nino des Buissonnets
http://commons.wikimedia.org/wiki/Special:FilePath/Lynne%20Roberts-Roy%20Rogers%20in%20Billy%20the%20Kid%20Returns.jpg,,,Trigger
http://commons.wikimedia.org/wiki/Special:FilePath/Godolphin%20Arabian.jpg,,,Godolphin Barb
,,,Alleged
,,,Dalakhani
,,,Bucephalus
http://commons.wikimedia.org/wiki/Special:FilePath/Wakataka01.jpg,,,Wakataka
,,,Gigolo FRH
,,,Electrocutionist
,,,Royal Ski
http://commons.wikimedia.org/wiki/Special:FilePath/Deep%20Impact%28horse%2920060430R1.jpg,,,Deep Impact
http://commons.wikimedia.org/wiki/Special:FilePath/Admire%20Don%20001.jpg,,,Admire Don
,,,Devil Diver
,,,Beauty
,,,Silent Witness
http://commons.wikimedia.org/wiki/Special:FilePath/Indigenous.JPG,,,Indigenous
,,,Salinero
http://commons.wikimedia.org/wiki/Special:FilePath/Big%20Ben%20%28horse%29.jpg,,,Big Ben
,,,Ratina Z
http://commons.wikimedia.org/wiki/Special:FilePath/Borgia.jpg,,,Borgia
http://commons.wikimedia.org/wiki/Special:FilePath/Overdose.jpg,,,Overdose
http://commons.wikimedia.org/wiki/Special:FilePath/Highflyer.jpg,,,Highflyer
,,,Sassafras
http://commons.wikimedia.org/wiki/Special:FilePath/BreedersCupClassic2007-CurlinPaddock.jpg,,,Curlin
http://commons.wikimedia.org/wiki/Special:FilePath/Cal%C3%ADgula%20e%20Incitato.jpg,,,Incitato
,,,Docs Keepin Time
http://commons.wikimedia.org/wiki/Special:FilePath/Totilas.jpg,,,Totilas
http://commons.wikimedia.org/wiki/Special:FilePath/General%20R.%20E.%20Lee%20and%20Traveler.jpg,,,Traveller
,,,Luna verde
,,,Sakhee
http://commons.wikimedia.org/wiki/Special:FilePath/Makybe%20Diva%20-%20trackwork%2002.jpg,,,Makybe Diva
http://commons.wikimedia.org/wiki/Special:FilePath/Rock%20of%20Gibraltar%20-%20Race%20Horse.jpg,,,Rock of Gibraltar
,,,Danehill
http://commons.wikimedia.org/wiki/Special:FilePath/Lammtarra.jpg,,,Lammtarra
http://commons.wikimedia.org/wiki/Special:FilePath/ElizabethIItroopingcolour%20crop.jpg,,,Burmese
http://commons.wikimedia.org/wiki/Special:FilePath/Byerly%20Turk.jpg,,,Byerley Turk
,,,Caletto I
,,,Caletto II
,,,Calvaro Z
,,,Majestic Prince
,,,Nonoalco
,,,Cassini I
,,,Sà pǔ
,,,Jackpot
,,,Lux
,,,Athos
,,,Finn (perro)
http://commons.wikimedia.org/wiki/Special:FilePath/Patron%20in%20Ohmatdyt%2C%2028%20April%202022%20%2804%29.jpg,,,Patron
,,,Q21115433
,,,Dendy
http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20the%20bulldog%20face.jpg,,,Jack the Bulldog
,,,Jiggs II
http://commons.wikimedia.org/wiki/Special:FilePath/Yorkipoo.jpg,,,Yorkipoo
,,,Swinford Bandog
http://commons.wikimedia.org/wiki/Special:FilePath/Cavoodle%20Dog.jpg,,,Cavoodle
http://commons.wikimedia.org/wiki/Special:FilePath/Maltipoo%20Dog%20-%20Poodle%20Maltese%20Mix%20Breed.jpg,,,Maltipoo
,,,Dorgi
http://commons.wikimedia.org/wiki/Special:FilePath/Female%20Labrabull.jpg,,,Pitador
http://commons.wikimedia.org/wiki/Special:FilePath/Female%20pitador.jpg,,,Pitador
,,,Natt Williams
,,,Q10363994
,,,Bella
,,,Philae
http://commons.wikimedia.org/wiki/Special:FilePath/01%20when%20Tower%20Two%20collapsed%20-%20Flickr%20id%206146013956.jpg,,,Sirius
,,,Coursing hound
,,,Leading hound
,,,Trail hound
,,,Barking hound
,,,Working Spaniel
,,,Field labrador
,,,Takeshi
,,,Winston
,,,Jorts
http://commons.wikimedia.org/wiki/Special:FilePath/Willow%20the%20First%20Cat.png,,,Willow
http://commons.wikimedia.org/wiki/Special:FilePath/Mac%20the%20cat%20sat%20in%20a%20box.jpg,,,Mac the cat sat in a box
http://commons.wikimedia.org/wiki/Special:FilePath/Rescue%20of%20a%20cat%20in%20Borodianka%2C%202%20May%202022%20%284%29.jpg,,,the cat from Borodianka
http://commons.wikimedia.org/wiki/Special:FilePath/Hitomi%20the%20Pomchi.jpg,,,Hitomi
http://commons.wikimedia.org/wiki/Special:FilePath/2013%20Longines%20Global%20Champions%20-%20Lausanne%20-%2014-09-2013%20-%20Emil%20Hallundbaek%20et%20Catoki.jpg,,,Catoki
,,,Dubai Millennium
,,,Chambertin
http://commons.wikimedia.org/wiki/Special:FilePath/Native%20Dancer%20%28USA%29.jpg,,,Native Dancer
,,,Ruffian
http://commons.wikimedia.org/wiki/Special:FilePath/Goldikova.jpg,,,Goldikova
,,,Zarkava
,,,Imperiál
http://commons.wikimedia.org/wiki/Special:FilePath/Matchem.jpg,,,Matchem
,,,Danzig
,,,Sadler's Wells
http://commons.wikimedia.org/wiki/Special:FilePath/Mr.%20Prospector.jpg,,,Mr. Prospector
,,,Comanche
http://commons.wikimedia.org/wiki/Special:FilePath/%D0%91%D0%B5%D1%80%D0%BB%D0%B8%D0%BD%20-%20panoramio%20%2881%29.jpg,,,Condé
http://commons.wikimedia.org/wiki/Special:FilePath/Hans%201910.jpg,,,Clever Hans
,,,Cor de la Bryère
http://commons.wikimedia.org/wiki/Special:FilePath/Marco%20kutscher%20cornet.jpg,,,Cornet Obolensky
,,,Dai Jin
http://commons.wikimedia.org/wiki/Special:FilePath/Danedream%20wins%20the%202011%20Arc%20for%20Germany.jpg,,,Danedream
http://commons.wikimedia.org/wiki/Special:FilePath/Copenhagen%20%28Wellington%27s%20horse%29.jpg,,,Copenhagen
http://commons.wikimedia.org/wiki/Special:FilePath/Dark%20Ronald%20%28GB%29.jpg,,,Dark Ronald
http://commons.wikimedia.org/wiki/Special:FilePath/Poongsandogs.JPG,,,Pungsan
http://commons.wikimedia.org/wiki/Special:FilePath/Black%20Field%20Spaniel.jpg,,,Spaniel de campo
http://commons.wikimedia.org/wiki/Special:FilePath/Field%20Spaniel%2003.jpg,,,Spaniel de campo
http://commons.wikimedia.org/wiki/Special:FilePath/Field%20spaniel%20581.jpg,,,Spaniel de campo
http://commons.wikimedia.org/wiki/Special:FilePath/Korea-Jeonju-Sapsal%20dog%20in%20front%20of%20a%20Hanok%20Village-01.jpg,,,Sapsali
http://commons.wikimedia.org/wiki/Special:FilePath/Finselappenhond%20louhi-no%20watermark.jpg,,,perro finlandés de Laponia
http://commons.wikimedia.org/wiki/Special:FilePath/Finnish%20Spitz%20600.jpg,,,spitz finlandés
http://commons.wikimedia.org/wiki/Special:FilePath/Finnish%20Spitz%20female%20Lisa.jpg,,,spitz finlandés
http://commons.wikimedia.org/wiki/Special:FilePath/Szpic%20fi%C5%84ski%20profil%20980.jpg,,,spitz finlandés
http://commons.wikimedia.org/wiki/Special:FilePath/Flat-coated%20Retriever%20Molly.jpg,,,Perro cobrador de cubierta lisa
http://commons.wikimedia.org/wiki/Special:FilePath/Flatcoat%20retriever%202.jpg,,,Perro cobrador de cubierta lisa
http://commons.wikimedia.org/wiki/Special:FilePath/G%C5%82adkow%C5%82osy%20pies%20aportuj%C4%85cy.jpg,,,Perro cobrador de cubierta lisa
http://commons.wikimedia.org/wiki/Special:FilePath/Formosan%20nina.jpg,,,Perro de montaña de Formosa
http://commons.wikimedia.org/wiki/Special:FilePath/Telomian.jpg,,,Telomian
,,,American Staghound
http://commons.wikimedia.org/wiki/Special:FilePath/Beagle-Harrier-fr.jpg,,,Beagle-Harrier
http://commons.wikimedia.org/wiki/Special:FilePath/Harrier-Beagle.jpg,,,Beagle-Harrier
http://commons.wikimedia.org/wiki/Special:FilePath/Beagle%20harrier.JPG,,,Beagle-Harrier
http://commons.wikimedia.org/wiki/Special:FilePath/Anglo-Fran%C3%A7ais%20de%20petite%20v%C3%A9nerie.jpg,,,Mittelgroβer Anglo-Französischer Laufhund
http://commons.wikimedia.org/wiki/Special:FilePath/Anglo-fran%C3%A7ais%20de%20petite%20v%C3%A9nerie%2C%20%C2%ABOp%20dem%20Hut%C2%BB%2C%20Haanenhaff-112.jpg,,,Mittelgroβer Anglo-Französischer Laufhund
http://commons.wikimedia.org/wiki/Special:FilePath/Ariegeois.jpg,,,Sabueso del Ariège
http://commons.wikimedia.org/wiki/Special:FilePath/Alapaha%20blue%20blood%20bulldog2.jpg,,,Alapaha Blue Blood Bulldog
http://commons.wikimedia.org/wiki/Special:FilePath/Alapahabulldog.jpg,,,Alapaha Blue Blood Bulldog
http://commons.wikimedia.org/wiki/Special:FilePath/Gonczy%20bernenski%20pl1.jpg,,,Bernese hound
http://commons.wikimedia.org/wiki/Special:FilePath/Wy%C5%BCe%C5%82%20du%C5%84ski%20123.jpg,,,Antiguo perro de muestra danés
http://commons.wikimedia.org/wiki/Special:FilePath/Alpejski%20go%C5%84czy%20kr%C3%B3tkono%C5%BCny%20g%C5%82owa%2011.jpg,,,Dachsbracke de los Alpes
http://commons.wikimedia.org/wiki/Special:FilePath/Alpejski%20go%C5%84czy%20kr%C3%B3tkono%C5%BCny%20g99.jpg,,,Dachsbracke de los Alpes
http://commons.wikimedia.org/wiki/Special:FilePath/Australian%20Stumpy%20Tail%20Cattle%20Dog.jpg,,,Pastor australiano Stumpy Tail
http://commons.wikimedia.org/wiki/Special:FilePath/Aht-sable%26white3.jpg,,,Terrier americano sin pelo
http://commons.wikimedia.org/wiki/Special:FilePath/Am%20hairless%20terrier%20pups.jpg,,,Terrier americano sin pelo
http://commons.wikimedia.org/wiki/Special:FilePath/Amarican%20Toy%20terrier.jpg,,,fox terrier ratonero
http://commons.wikimedia.org/wiki/Special:FilePath/Fred2003a.jpg,,,fox terrier ratonero
http://commons.wikimedia.org/wiki/Special:FilePath/Toy%20Fox%20Terrier%202.jpg,,,fox terrier ratonero
http://commons.wikimedia.org/wiki/Special:FilePath/AmericanFoxhound2.jpg,,,Foxhound americano
http://commons.wikimedia.org/wiki/Special:FilePath/BIR%20Grupp%206-%20AMERICAN%20FOXHOUND%2C%20J%C3%A4%C3%A4r%C3%A4p%C3%A4%C3%A4%20Flikka%20%2823607404123%29.2.jpg,,,Foxhound americano
http://commons.wikimedia.org/wiki/Special:FilePath/Bashyr.jpg,,,Kelpie Australiano
http://commons.wikimedia.org/wiki/Special:FilePath/02%20Australian%20Silky%20Terrier%2C%20Zack%2C%20spring%202012.jpg,,,Silky terrier australiano
http://commons.wikimedia.org/wiki/Special:FilePath/Australian%20Terrier%20002%20U.jpg,,,Terrier de Australia
http://commons.wikimedia.org/wiki/Special:FilePath/Great%20japanese%20dog00.jpg,,,Akita Americano
http://commons.wikimedia.org/wiki/Special:FilePath/Black%20and%20Tan%20Coonhound.jpg,,,Black and tan coonhound
http://commons.wikimedia.org/wiki/Special:FilePath/Kangal-welpen-de%20003.jpg,,,Pastor de Anatolia
,,,Bisben
http://commons.wikimedia.org/wiki/Special:FilePath/Boston-terrier-carlos-de.JPG,,,Boston terrier
http://commons.wikimedia.org/wiki/Special:FilePath/Basset%20bleu%20de%20Gascogne.jpg,,,Basset azul de Gascuña
http://commons.wikimedia.org/wiki/Special:FilePath/Border%20Terri%C3%ABr.JPG,,,Border terrier
http://commons.wikimedia.org/wiki/Special:FilePath/Grupp%206%20BASSET%20ART%C3%89SIEN%20NORMAND%2C%20Skogvaktarens%20Queen%20Sally%20%2824180074612%29.jpg,,,Basset artesiano de Normandía
http://commons.wikimedia.org/wiki/Special:FilePath/Bolo%C5%84czyk%205e3.jpg,,,Bichón boloñés
http://commons.wikimedia.org/wiki/Special:FilePath/Bolognese%20Image%202.jpg,,,Bichón boloñés
http://commons.wikimedia.org/wiki/Special:FilePath/BluetickCoonhound.jpg,,,Bluetick coonhound
http://commons.wikimedia.org/wiki/Special:FilePath/Basset%20Fauve%20de%20Bretagne%20600.jpg,,,Basset leonado de Bretaña
http://commons.wikimedia.org/wiki/Special:FilePath/Bardina-Donna-1.jpg,,,Perro majorero
http://commons.wikimedia.org/wiki/Special:FilePath/Serbian%20Hound%20Face.JPG,,,Sabueso serbio
http://commons.wikimedia.org/wiki/Special:FilePath/BiewerH%C3%BCndin.jpg,,,Biewer Terrier
http://commons.wikimedia.org/wiki/Special:FilePath/2005-09%20Zoran%201.jpg,,,Sabueso bávaro de montaña
http://commons.wikimedia.org/wiki/Special:FilePath/BayerischerGebirgsSchweisshund.jpg,,,Sabueso bávaro de montaña
http://commons.wikimedia.org/wiki/Special:FilePath/Maddie%20%288416820450%29.jpg,,,Inglés Americano Coonhound
http://commons.wikimedia.org/wiki/Special:FilePath/BlueLacyPhoto1.jpg,,,Blue Lacy
http://commons.wikimedia.org/wiki/Special:FilePath/Bedlington%20terrier.jpeg,,,Bedlington terrier
